Package Name,Class Name,NOF,NOM,NOM+NOF,God Class,,,,,,,,
net.sourceforge.jsxe.gui,ActivityLogDialog,2,11,13,No,,,,,,,,
net.sourceforge.jsxe.gui,DocumentView,0,0,0,No,,,,,,,,
net.sourceforge.jsxe.gui,EnhancedDialog,1,11,12,No,,,,,,,,
net.sourceforge.jsxe.gui,ErrorListDialog,1,4,5,No,,,,,,,,
net.sourceforge.jsxe.gui,GlobalOptionsDialog,2,3,5,No,,,,,,,,
net.sourceforge.jsxe.gui,jsxeAboutDialog,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.gui,jsxeFileDialog,0,5,5,No,,,,,,,,
net.sourceforge.jsxe.gui,Messages,5,7,12,No,,,,,,,,
net.sourceforge.jsxe.gui,OptionsDialog,14,1,15,No,,,,,,,,
net.sourceforge.jsxe.gui,OptionsPanel,0,3,3,No,,,,,,,,
net.sourceforge.jsxe.gui,ProgressSplashScreenWindow,3,4,7,No,,,,,,,,
net.sourceforge.jsxe.dom.completion,EntityDecl,7,0,7,No,,,,,,,,
net.sourceforge.jsxe.dom.completion,IDDecl,5,1,6,No,,,,,,,,
org.syntax.jedit,DefaultInputHandler,2,0,2,No,,,,,,,,
org.syntax.jedit,KeywordMap,6,0,6,No,,,,,,,,
org.syntax.jedit,SyntaxDocument,1,3,4,No,,,,,,,,
org.syntax.jedit,SyntaxStyle,6,0,6,No,,,,,,,,
org.syntax.jedit,SyntaxUtilities,0,1,1,No,,,,,,,,
org.syntax.jedit,TextUtilities,0,1,1,No,,,,,,,,
net.sourceforge.jsxe.action,ActivityLogAction,2,2,4,No,,,,,,,,
net.sourceforge.jsxe.action,FileCloseAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileCloseAllAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileExitAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileNewAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileOpenAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileReloadAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileSaveAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,FileSaveAsAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,OpenRecentFileAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,ToolsOptionsAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,ToolsPluginManagerAction,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.action,ValidationErrorsAction,1,3,4,No,,,,,,,,
net.sourceforge.jsxe.dom,AdapterNodeListener,0,0,0,No,,,,,,,,
net.sourceforge.jsxe.dom,DefaultDOMLocator,5,8,13,No,,,,,,,,
net.sourceforge.jsxe.dom,DOMOutput,4,11,15,No,,,,,,,,
net.sourceforge.jsxe.dom,DOMSerializerException,1,2,3,No,,,,,,,,
net.sourceforge.jsxe.dom,XMLDocumentListener,0,0,0,No,,,,,,,,
net.sourceforge.jsxe.util,ArrayListEnumeration,2,8,10,No,,,,,,,,
treeview,DefaultViewDocument,1,1,2,No,,,,,,,,
treeview,DefaultViewOptionsPanel,4,4,8,No,,,,,,,,
treeview,DefaultViewTableModel,4,15,19,No,,,,,,,,
treeview,DefaultViewTreeModel,2,16,18,No,,,,,,,,
treeview,NodeTransferHandler,0,5,5,No,,,,,,,,
treeview,TransferableNode,4,3,7,No,,,,,,,,
treeview,TreeViewPlugin,1,2,3,No,,,,,,,,
gnu.regexp,CharIndexed,0,0,0,No,,,,,,,,
gnu.regexp,CharIndexedCharArray,2,3,5,No,,,,,,,,
gnu.regexp,CharIndexedInputStream,8,10,18,No,,,,,,,,
gnu.regexp,CharIndexedReader,8,10,18,No,,,,,,,,
gnu.regexp,CharIndexedString,3,3,6,No,,,,,,,,
gnu.regexp,CharIndexedStringBuffer,2,3,5,No,,,,,,,,
gnu.regexp,REException,15,3,18,No,,,,,,,,
gnu.regexp,REFilterInputStream,6,5,11,No,,,,,,,,
gnu.regexp,REFilterReader,6,5,11,No,,,,,,,,
gnu.regexp,REMatch,1,13,14,No,,,,,,,,
gnu.regexp,REMatchEnumeration,9,3,12,No,,,,,,,,
gnu.regexp,REToken,3,6,9,No,,,,,,,,
gnu.regexp,RETokenAny,2,3,5,No,,,,,,,,
gnu.regexp,RETokenBackRef,2,2,4,No,,,,,,,,
gnu.regexp,RETokenChar,2,4,6,No,,,,,,,,
gnu.regexp,RETokenEnd,1,2,3,No,,,,,,,,
gnu.regexp,RETokenEndSub,0,2,2,No,,,,,,,,
gnu.regexp,RETokenLookAhead,0,1,1,No,,,,,,,,
gnu.regexp,RETokenOneOf,2,3,5,No,,,,,,,,
gnu.regexp,RETokenRange,2,3,5,No,,,,,,,,
gnu.regexp,RETokenRepeated,2,6,8,No,,,,,,,,
gnu.regexp,RETokenStart,1,2,3,No,,,,,,,,
gnu.regexp,RETokenWordBoundary,4,3,7,No,,,,,,,,
gnu.regexp,UncheckedRE,0,3,3,No,,,,,,,,
net.sourceforge.jsxe.options,OptionGroup,3,11,14,No,,,,,,,,
net.sourceforge.jsxe.options,OptionPane,0,0,0,No,,,,,,,,
sourceview,CharIndexedSegment,3,0,3,No,,,,,,,,
sourceview,RESearchMatcher,3,1,4,No,,,,,,,,
sourceview,SourceViewDocument,1,0,1,No,,,,,,,,
sourceview,SourceViewPlugin,0,3,3,No,,,,,,,,
sourceview,SourceViewSearchDialog,8,11,19,No,,,,,,,,
org.syntax.jedit.tokenmarker,TokenMarker,8,0,8,No,,,,,,,,
org.syntax.jedit.tokenmarker,XMLTokenMarker,0,4,4,No,,,,,,,,
net.sourceforge.jsxe,ActionPlugin,1,7,8,No,,,,,,,,
net.sourceforge.jsxe,ActionSet,2,12,14,No,,,,,,,,
net.sourceforge.jsxe,BufferHistory,5,15,20,No,,,,,,,,
net.sourceforge.jsxe,CustomFileFilter,2,4,6,No,,,,,,,,
net.sourceforge.jsxe,DocumentBufferListener,0,0,0,No,,,,,,,,
net.sourceforge.jsxe,OperatingSystem,8,10,18,No,,,,,,,,
net.sourceforge.jsxe,PluginDependencyException,4,2,6,No,,,,,,,,
net.sourceforge.jsxe,PluginLoadException,0,3,3,No,,,,,,,,
net.sourceforge.jsxe,UnrecognizedPluginException,0,1,1,No,,,,,,,,
net.sourceforge.jsxe,ViewPlugin,0,0,0,No,,,,,,,,
treeview.action,AddAttributeAction,0,2,2,No,,,,,,,,
treeview.action,AddDocTypeAction,4,11,15,No,,,,,,,,
treeview.action,AddNodeAction,4,4,8,No,,,,,,,,
treeview.action,CopyNodeAction,0,2,2,No,,,,,,,,
treeview.action,CutNodeAction,0,2,2,No,,,,,,,,
treeview.action,EditNodeAction,0,2,2,No,,,,,,,,
treeview.action,PasteNodeAction,0,2,2,No,,,,,,,,
treeview.action,RemoveAttributeAction,0,2,2,No,,,,,,,,
treeview.action,RemoveNodeAction,0,2,2,No,,,,,,,,
treeview.action,RenameNodeAction,0,2,2,No,,,,,,,,
sourceview.action,EditCopyAction,0,2,2,No,,,,,,,,
sourceview.action,EditCutAction,0,2,2,No,,,,,,TP =4,,
sourceview.action,EditFindAction,0,2,2,No,,,,,,FN = 25,,Accuracy = (Tp+Tn/tOTAL) = 80.92%
sourceview.action,EditPasteAction,0,2,2,No,,,,,,TN = 102,,Precision = (Tp/Tp+Fp) = 100%
net.sourceforge.jsxe.gui,DirtyFilesDialog,17,22,39,Yes,,,,,,Fp = 0,,Recall = (Tp/Tp+Fn) =13.79%
net.sourceforge.jsxe.gui,EnhancedMenu,3,22,25,Yes,,,,,,,,F1 scr =( 2*pre*recl)/pre+recl = 24.24%
net.sourceforge.jsxe.gui,PluginManagerDialog,8,21,29,Yes,,,,,,,,
net.sourceforge.jsxe.gui,TabbedView,15,21,36,Yes,,,,,,,,
net.sourceforge.jsxe.dom.completion,CompletionInfo,10,16,26,Yes,,,,,,,,
net.sourceforge.jsxe.dom.completion,ElementDecl,12,10,22,Yes,,,,,,,,
org.syntax.jedit,InputHandler,55,0,55,Yes,,,,,,,,
org.syntax.jedit,JEditTextArea,41,7,48,Yes,,,,,,,,
org.syntax.jedit,TextAreaDefaults,20,1,21,Yes,,,,,,,,
org.syntax.jedit,TextAreaPainter,0,35,35,Yes,,,,,,,,
net.sourceforge.jsxe.dom,AdapterNode,19,35,54,Yes,,,,,,,,
net.sourceforge.jsxe.dom,DOMSerializer,8,17,25,Yes,,,,,,,,
net.sourceforge.jsxe.dom,DOMSerializerConfiguration,26,7,33,Yes,,,,,,,,
net.sourceforge.jsxe.dom,XMLDocument,39,65,104,Yes,,,,,,,,
net.sourceforge.jsxe.util,Log,14,14,28,Yes,,,,,,,,
net.sourceforge.jsxe.util,MiscUtilities,1,22,23,Yes,,,,,,,,
treeview,DefaultView,17,38,55,Yes,,,,,,,,
treeview,DefaultViewTree,23,37,60,Yes,,,,,,,,
treeview,EditTagDialog,12,19,31,Yes,,,,,,,,
gnu.regexp,RE,15,41,56,Yes,,,,,,,,
gnu.regexp,RESyntax,48,8,56,Yes,,,,,,,,
gnu.regexp,RETokenPOSIX,16,5,21,Yes,,,,,,,,
sourceview,SourceView,12,23,35,Yes,,,,,,,,
sourceview,SourceViewOptionsPanel,15,21,36,Yes,,,,,,,,
org.syntax.jedit.tokenmarker,Token,20,2,22,Yes,,,,,,,,
net.sourceforge.jsxe,CatalogManager,14,10,24,Yes,,,,,,,,
net.sourceforge.jsxe,DocumentBuffer,14,18,32,Yes,,,,,,,,
net.sourceforge.jsxe,JARClassLoader,11,17,28,Yes,,,,,,,,
net.sourceforge.jsxe,jsXe,18,37,55,Yes,,,,,,,,
